Sex,Level,WeightClass,QT_pre2025,QT_2025,QT_2027
F,Regionals,47,240,240,270
F,Regionals,52,260,260,297.5
F,Regionals,57,280,280,320
F,Regionals,63,302.5,302.5,350
F,Regionals,69,322.5,322.5,372.5
F,Regionals,76,345,345,392.5
F,Regionals,84,367.5,367.5,410
F,Regionals,84+,387.5,387.5,432.5
F,Nationals,47,275,280,300
F,Nationals,52,297.5,302.5,330
F,Nationals,57,320,340,355
F,Nationals,63,347.5,375,390
F,Nationals,69,370,385,415
F,Nationals,76,392.5,400,435
F,Nationals,84,417.5,425,455
F,Nationals,84+,432.5,440,480
M,Regionals,59,412.5,412.5,467.5
M,Regionals,66,455,455,522.5
M,Regionals,74,497.5,497.5,587.5
M,Regionals,83,535,535,630
M,Regionals,93,567.5,567.5,660
M,Regionals,105,597.5,597.5,687.5
M,Regionals,120,620,620,707.5
M,Regionals,120+,637.5,637.5,720
M,Nationals,59,482.5,505,520
M,Nationals,66,530,560,580
M,Nationals,74,580,632.5,652.5
M,Nationals,83,625,687.5,700
M,Nationals,93,665,710,732.5
M,Nationals,105,697.5,740,762.5
M,Nationals,120,727.5,762.5,785
M,Nationals,120+,745,775,800
